Name,G
buy,38
buyers,4
buying,5
buys,4
buzz,4
c1,1
c241bf1400bb,1
cada,1
cal,1
calculators,2
california,6
call,10
calls,1
came,1
campaign,2
campus,1
cancer,1
cap,12
capital,4
capitalism,1
capitalists,3
capitalization,4
caps,4
car,3
card,2
cards,1
carl,1
carmaker,1
cars,2
carson,1
cartoon,1
case,1
cash,8
cashed,1
catch,1
catching,1
caught,2
caution,4
cctv,1
celebrated,2
celebrates,1
celebration,1
censorship,2
center,12
centers,1
central,1
cents,1
century,1
ceo,20
ceos,2
cerca,1
certain,1
chairman,8
chairmen,1
challenge,3
challenger,1
challenges,1
chance,4
chang,2
change,4
changer,1
changes,1
changing,6
chanos,1
charge,6
charismatic,1
charlie,3
chart,7
charts,7
chatty,1
cheap,3
cheaply,1
chevron,1
chicken,1
chief,3
china,173
china,1
china/,2
chinas,1
chinese,79
chino,2
chip,1
chipotle,1
chooses,1
circa,1
citi,2
city,2
claman,8
clamanoncall,8
class,9
classic,1
clear,1
clone,2
close,14
closed,6
closing,1
cloud,9
club,9
clues,1
cnbc,2
cnn,2
co,3
co/9yxywbn,1
co/csxrg3g,1
co/e8w3d0n,1
co/ijsfd95,1
co/ljcjax2,1
co/qdw5vtv,1
co/qwfgkhb,1
co/smcrghe,1
co/umaixdm,1
co/ureeac1,1
co/vfzjy0u,1
co/vqidzd5,1
co/vzmoner,1
co/wq8aetz,1
co/xqxwe6y,1
co/xu6zfpo,1
coalition,1
code,2
codes,1
cognitive,2
cold,1
collaborators,1
colleague,1
collective,2
collectively,1
college,1
com,3
combined,14
comcast,1
come,11
comeback,1
comercio,1
comes,6
coming,8
commerce,52
commission,1
commissioner,1
common,5
communists,1
community,1
companies,23
company,73
compare,1
compares,1
compete,4
competing,1
competition,1
competitive,1
competitor,3
competitors,1
complicated,1
composite,2
computing,2
con,2
concern,2
concerns,2
concierge,1
conference,1
confirm,1
confirms,1
conflict,1
conglomerate,2
congress,2
connected,3
conquer,1
consider,5
considered,5
considers,4
consumer,5
continues,2
contributor,4
controlled,1
cook,4
cooperar,1
cooperating,1
core,3
corp,1
cost,1
costco,1
could,53
counterfeit,7
counters,2
country,1
couples,4
court,2
couture,1
cover,3
coverage,11
covered,5
covering,1
crack,1
cracking,1
craft,1
cramer,1
cranked,1
crash,1
craze,2
created,2
creates,1
creative,1
credibility,1
credit,9
creeps,1
cried,1
criminal,2
crisis,1
critical,3
crowd,1
crowdfunding,2
crowds,1
crowns,1
crucial,1
crunchweek,2
crush,1
crushed,3
cuban,1
cult,1
"culture""",1
cures,1
current,9
currently,1
customers,5
cut,1
cutler,1
cyber,7
cz,1
dailychart,1
dan,1
dangerous,4
darling,1
data,30
david,2
davos,1
davos2015,1
day,92
day!,1
"day""",1
days,4
dd11,1
de,17
deal,21
dealbook,49
dealing,1
deals,2
debit,1
debt,2
debunked,3
debut,64
debuta,1
debuted,1
debuts,5
dec,2
decade,4
december,4
decide,2
decided,1
decision,5
decline,2
decreased,2
deep,1
deepens,1
defends,2
defies,1
defining,2
definitely,1
dejar,1
del,4
delay,1
delayed,1
delaying,1
deliver,3
delivered,1
deliveries,6
delivers,4
delivery,23
delta,1
demand,13
demonstrates,1
denies,2
depend,1
depot,2
depth,1
desarrollar,1
designated,1
despite,4
destroyed,1
details,5
dethroned,2
detractors,1
develop,1
developer,1
developers,1
developing,3
development,1
devices,3
died,1
difference,1
differences,1
digital,4
dingtalk,2
dip,1
director,1
dirt,1
disadvantage,1
disappointing,3
disappoints,4
disaster,1
disciplined,1
disclosing,1
discuss,4
dispute,3
dissonance,2
distribution,2
disturbing,3
ditch,1
dive,2
divergence,2
do!,1
doesn,1
dollar,6
dollars,5
domicile,1
dominate,1
dominated,2
domination,1
done,1
donut,1
doors,3
double,1
doubled,2
dow,5
downloads,1
drawing,1
draws,1
dream,1
dreaming,3
dresses,1
drive,1
drives,1
driving,1
drone,29
drones,1
drop,3
dubbed,1
dulled,2
dump,1
dumped,1
dumping,1
duo,1
dwarfs,1
dynamic,1
dynasty,1
È,15
earliest,1
early,28
earned,3
earnings,34
earth,4
east,2
easy,3
ebay,19
eccentric,1
eclipse,1
eclipsed,1
ecommerce,5
economic,2
economy,3
ecosystem,2
ecosystems,1
ecstatic,1
ed/,1
effect,1
effective,1
effort,1
el,8
elections,1
electronic,1
elements,1
elite,2
email,2
employees,13
empresa,2
en,8
end,6
ends,4
english,2
enlight,2
enormous,1
enough,6
entered,3
entering,1
enterprise,2
enters,1
entertainment,4
enthralled,1
enthusiasm,5
entire,2
entre,1
entrepreneurs,11
entrepreneurship,1
entry,2
envelope,1
envelopes,2
eps,5
era,1
es,4
espa–ol,2
est,3
estados,1
estar,1
estate,1
estimates,7
estreno,2
et,2
etched,2
etsy,2
europe,1
european,1
even,20
event,4
ever,43
every,4
everyone,2
everything,7
evolution,3
evolves,1
ex,1
exactly,7
example!,1
examples,1
exceed,1
exchange,9
exchanges,2
excited,1
excitement,2
exclusive,4
exec,4
execs,1
executive,3
executives,1
expand,3
expanding,2
expands,1
expansion,1
expect,1
expectations,7
expected,20
expecting,1
expects,3
experience,1
expiration,5
expires,4
expiry,1
explain,2
explained,3
explainer,1
explains,3
export,2
exposed,1
extend,2
extended,1
extends,2
eye,4
eyes,3
fa5f399445ae,1
fabulous,1
face,15
facebook,31
faces,7
facial,2
facing,3
factor,4
facts,3
fade,3
fail,2
fails,1
fairy,3
faithful,1
fake,16
fakes,8
faking,1
fall,6
falls,6
family,3
"family""",2
far,5
fargo,1
fast,5
fastfact,5
fat,1
favor,1
favorite,5
fazed,2
fbn,8
fbnalibaba,4
fcmostinnovative,2
fear,1
featured,1
fed,2
fee,2
feed/alibaba,2
feed/yahoo,1
feeding,1
feeds,1
feel,1
feels,2
fees,1
fell,2
female,2
festival,1
fever,4
fidelity,1
fight,2
fighting,8
figure,1
figures,2
files,6
filing/,1
film,2
finance,8
financial,16
financing,6
find,8
finding,1
finds,3
fingerprint,2
finishing,1
firm,12
firms,6
first,49
five,6
flag,1
flags,3
flappy,4
flat,1
float,1
floodgates,1
floor,1
flop,2
flops,1
flotation,4
flowchart,2
fly,1
flying,2
focus,2
focused,2
fogi,1
folks,2
follow,9
followed,1
followers,1
following,3
fomo,1
food,2
foot,1
footsteps,1
forbes400,1
force,1
forces,1
ford,1
forecast,1
forecasts,3
forestall,1
forget,1
fork,1
form,3
former,4
formidable,1
forms,1
forrest,4
forthcoming,1
fortune,3
forward,1
fostering,1
found,1
foundation,2
founded,1
founder,39
four,2
fourth,4
fox,1
fraud,2
fray,3
free,13
frenzy,6
frictions,1
friday,15
fried,1
friends,1
friends 2,
front,4
fu,1
fulfillment,2
fund,13
fundador,4
funding,6
funds,6
funny,1
future,15
futures,2
futureweb,2
fyi,1
gain,4
gains,3
gallium,2
game,2
gargantuan,1
ge,2
gears,4
general,1
generated,1
generating,1
genius,1
genius!try,1
germany,1
get,23
gets,4
getting,16
ghostbusters,2
giant,36
giants,4
gift,4
gigante,2
ginger,1
give,8
gives,7
giving,2
glamsquad,1
global,20
globally,1
globe,1
glowing,1
gm,1
go,13
goal,1
gobs,1
goes,5
going,12
gold,1
golden,4
goldman,5
good,12
goodell,1
goods,24
google,23
gop,1
gopro,1
gordon,2
got,15
gouwu,2
gov,1
government,14
grabs,1
grand,1
grants,1
great,6
greater,2
green,2
gross,3
group,27
grow,1
growing,2
growth,9
guess,2
guidance,1
guide,6
gump,4
guy,1
hacking,1
hair,1
hair),1
half,4
hand,1
handle,1
hands,3
handstands,2
hangzhou,3
happened,2
happening,2
happens,4
happiness,1
happy,5
hard,2
harder,1
hasn,2
haute,1
haven,1
head,1
heading,2
headlines,5
heads,2
heard,4
heaven,1
heavy,1
hectic,1
hedge,11
heels,1
heifers,3
help,10
helped,1
helping,3
helps,3
herbalife,1
hero,1
hero,2
hey,1
high,12
higher,10
highest,2
highlighted,1
highly,6
highs,3
hike,1
hint,2
hired,1
historic,7
history,28
hit,11
hits,10
hitting,4
hk,1
hoard,1
hold,1
holders,2
holding,6
holdings,3
holiday,9
holstein,3
hombre,4
home,10
hometown,1
hong,5
hope,3
hopeful,1
hopes,4
hoping,1
horrifying,2
hosted,1
hosting,1
hot,4
hotel,1
hottest,2
hour,5
hours,4
house,3
housing,1
hoy,1
ht,1
html,1
huawei,2
hug,1
huge,10
humbled,1
hundred,1
hundreds,3
hunting,1
hype,4
hyped,1
hypocrisy,2
i 1,
ibm,2
icahn,1
iceberg,1
icymi,3
idea,3
ignore,1
illegal,6
illustrate,1
imagine,2
imitation,1
impact,3
important,3
imported,2
impre,1
impress,2
impressive,2
improve,1
inaugural,2
inc,1
inch,1
include,2
included,1
includes,1
including,1
income,3
inconceivable,1
increase,9
increased,8
increasing,1
increasingly,2
incredible,1
independence,2
index,2
indexes,1
india,7
indian,1
indicated,20
indication,10
indications,3
indices,2
individual,1
indonesia,2
indra,1
industry,3
infineon,1
information,4
infrastructure,2
initial,12
initiated,1
initiative,2
innovation,1
innovative,2
inside,8
insiders,4
insight,1
insnapchat,1
inspiration,1
inspirational,1
inspiring,4
institutionals,1
institutions,1
insurance,1
integrate,1
integration,2
intenci—n,1
interactive,6
interest,2
interested,7
interesting,2
international,2
internet,17
internetofthings,5
interview,1
interviewing,1
interviews,2
invented,1
invesment,1
invest,21
invested,7
investigation,2
investing,17
investment,24
investor,18
investors,65
investorsguide,1
invests,15
invisible,1
involves,1
iot,7
iphone,6
ipo,464
ipod,1
ipos,21
ipv,1
irish,1
is!!!,1
ise,1
isis,2
isn,7
israeli,6
issue,1
issues,1
it 1,
items,2
jack,2
jack_ma,162
jack_mama,2
jack_mamaisrich,1
jackpot,1
jan,2
japan,1
japanese,2
jd,2
jeff,1
jerry,2
jetblue,1
jianlin,1
jim,2
jimmy,1
jockey,1
join,7
joined,1
joins,1
jon,1
jones,2
journal,1
journalists,1
joy,1
jpm,1
julian,1
jumbo,1
jump,8
jumping,3
jumps,6
junk,1
juno,1
juvgix0,1
jvp,2
kalanick,3
kar,2
keep,10
keeps,3
kentucky,1
key,8
keys,2
kfc,2
kick,3
kicked,2
kicks,5
kids,1
killed,1
killer,4
killing,2
kind,1
king,3
kingdom,2
knew,2
knock,1
know,35
known,2
knows,3
kobe,2
kong,5
koudai,2
kung 1,
la,8
laggards,2
lake,2
land,1
large,2
largely,4
larger,3
largest,29
last,11
late,2
later,4
latest,16
launch,8
launched,1
launches,12
lawsuit,1
lawsuits,2
lead,4
leader,1
leadership,1
leads,2
leaps,1
learn,5
learned,1
learning,1
leaves,1
led,6
lee,1
left,1
legal,1
lend,1
lending,11
lendingclub,1
less,5
lessons,3
let,9
lets,3
letter,4
level,3
levels,3
leverages,1
lex,1
lgbt,3
lied,1
lies,1
life,4
lift,3
lifts,3
light,1
lights,2
like,22
likely,5
likes,1
limit,1
limited,2
lines,2
linger,1
lining,1
link,2
linkedin,1
linking,1
links,2
lion,3
list,12
listed,6
listen,6
listing,3
listings,8
lite,2
little,6
live,27
live!,2
living,3
ll,2
load,1
loan,1
loans,2
local,2
lock,12
lockup,10
loeb,1
logistics,1
long,4
longer,2
look,13
looking,8
looks,10
looming,2
looms,2
loophole,1
lose,2
losers,1
loses,1
losing,1
loss,2
lost,2
lot,5
lots,1
love,5
loves,1
low,6
lowest,1
lows,3
luck,1
lucky,2
lucrativo,1
lucy,2
lunch,1
luxury,7
m&amp,1
ma,176
machine,1
made,17
madhouse,1
madness,1
maggie,2
magic,1
magic!,1
magical,1
maiden,1
main,2
maintain,1
major,6
make,18
maker,11
makes,21
making,11
man,29
managed,1
manager,1
maneuver,1
manservant,2
manufactured,1
many,4
margin,1
margins,5
marissa,20
mark,3
market,82
marketing,2
marketplace,5
markets,10
marks,1
marriage,3
married,6
mart,5
martoma,1
mas,2
m‡s,3
masa,1
massive,20
mastercard,1
masters,1
match,1
mathew,1
matt,1
matters,1
may,27
mayer,22
mayer/17690469/,1
mayer/22409171/,1
mcdonald,2
mean,4
means,5
measured,1
measures,2
media,3
medium,1
meet,6
meetings,4
mega,9
meh,1
meizu,10
mentioning,1
merchandise,4
merchants,6
message,4
messaging,9
met,1
meter,1
method,1
metric,1
mettle,2
microsoft,2
mid,1
middle,6
midpoint,1
midst,1
midterm,1
might,7
milestone,1
military,2
million,67
millionaires,4
millions,2
mind,2
minds,1
mine,1
minecraft,2
minority,4
mints,3
minute,6
minutes,4
mirroring,2
misconceptions,2
misleading,2
miss,5
misses,9
missing,5
mistake,1
mistakes,1
mix,1
mln,5
m—vil,1
m—viles,1
moat,1
mobile,32
mod=e2tw,1
model,2
models,1
modest,1
mom,1
moment,7
momo,2
monday,12
monetize,3
money,13
monster,2
month,1
months,1
morning,8
mostly,3
motor,1
mount,1
mouths,1
move,8
moves,2
movie,5
movies,1
movil/,1
moving,2
mr,1
mrkt,2
msci,2
mt,1
much,22
mulls,1
multibillion,4
multiyear,1
muscles,1
music,3
myths,3
nada,1
names,3
nasdaq,6
nbcnightlynews,1
nearing,1
nearly,12
nears,3
need,31
needs,6
negative,2
negocio,1
neon,2
nervous,1
net,9
netscape,1
network,4
networking,1
neutral,1
never,4
new,58
newly,1
news,20
next,29
nfl,1
nifty,2
night,1
nine,1
nooyi,1
normally,1
notched,1
nov,1
november,2
number,1
numbers,5
ny,5
nyc,1
nyse,36
nyt,1
obsession,2
october,2
odds,3
off!,1
offer,5
offered,2
offering,24
offerings,2
offers,3
office,3
officer,1
official,4
officially,4
offload,1
offs,1
oil,1
old,1
older,1
ondeck,2
one,22
one97,2
online,22
op,1
open,40
opened,5
opener,2
opening,8
opens,19
operating,1
operation,1
operational,1
"operations""",2
opinion,2
opportunities,1
opportunity,6
option,1
options,7
oracle,1
orange,3
orchestrators,1
order,6
ordered,2
orders,15
ordinary,3
original,1
others,1
outlines,1
outpacing,1
outperform,1
outrageous,3
outside,1
ouya,3
ouya!,2
overseers,1
overshadow,1
overshadowed,1
overshadowing,1
oversubscribed,1
overtake,1
overwhelming,1
overwhelming 1,
overwhelmingly,1
owner,2
p&amp,1
pack,2
package,1
packages,2
page,5
page=2,1
pago,3
paid,2
pain,2
paints,2
pairs,5
pants,4
pants),1
paper),1
para,3
part,2
participate,1
partner,5
partnering,2
partnership,11
party,5
pass,1
passes,1
password,1
past,1
patterns,2
paul,1
pave,1
pay,17
payment,10
payments,14
paypal,7
paytm,5
peaked,1
peel,7
peer,2
pending,1
peng,2
pens,1
people,16
pepsico,1
per,33
percent,18
percet,1
perfect,1
perform,1
performance,2
period,1
perk,1
person,4
perspective,1
phone,2
photo,2
photo),2
photos,2
pic,478
pick,3
pictures,2
piece,1
pile,1
pilot,2
ping,2
pitching,1
place,3
placed,6
plan,24
planned,1
planning,8
plans,29
plans/22417499/,2
platform,3
platforms,4
play,1
players,3
plays,1
plunge,3
plus,3
pockets,1
podr’a,2
point,2
poised,6
policy,2
politics,2
poll,3
pool,1
pop,3
pops,1
popular,4
popularity,2
poses,1
positives,1
possibilities,1
possible,2
possibly,1
post,4
posts,6
potential,6
potentially,2
pour,2
powerful,2
powerhouse,2
powering,2
pr,2
practices,3
pre,4
preceded,1
predicted,1
preferred,1
pregnant,3
premarket,3
premium,1
prepares,3
president,2
press,1
pressure,6
pretty,2
previously,1
price,83
priced,16
prices,23
pricing,3
prince,2
prints,1
private,6
probably,1
probe,1
probes,2
problem,5
problems,1
proceeds,4
processing,2
produce,1
produced,1
producing,2
product,2
production,1
products,2
profile,1
profit,13
profitable,2
profited,1
profits,7
program,8
programmes,1
project,1
promises,1
promising,1
promote,2
prompts,1
proposed,1
proposes,2
pros,3
prospects,2
prosper,1
protect,1
protection,1
proved,1
proves,1
provide,1
provided,1
providing,1
public,44
publicidad,1
publicity,3
publisher,1
pull,1
pumps,2
punch,3
purchased,1
purchases,1
push,6
pushback,1
put,5
puts,1
putting,1
puzzle,1
q3,1
qing,1
qr,3
quality,1
quarter,18
quarterly,3
queries,2
question,2
questions,4
queue,2
quick,2
quickly,3
quirky,1
quixey,1
quotes,1
rabble,1
race,1
racks,1
rags,1
raining,1
raise,31
raised,7
raises,19
raising,15
rakuten,2
rallied,1
rallies,1
rally,2
range,36
ranks,7
raps,2
rare,4
rarely,1
rate,1
rating,3
ratings,1
ray,1
re,4
reach,1
reaction,1
read,2
readers,2
ready,6
real,2
really,5
reap,4
reaping,1
reaps,2
reason,3
reasons,11
reassure,1
rebounds,1
recalled,2
received,2
receives,1
recent,4
recently,1
recession,1
reckon,2
recommendation,1
reconocimiento,2
record,50
records,6
red,7
reduce,1
regarding,1
regularly,1
regulator,9
regulators,4
regulatory,1
reinvest,1
reject,1
rejected,2
relations,2
relationship,1
relax,1
release,1
released,1
releases,1
relentless,1
remain,1
remaining,11
remains,2
reminds,1
reminiscent,1
remote,9
removed,2
renames,1
repercussions,1
repertoire,1
replace,3
report,18
reported,4
reportedly,8
reports,19
represent,1
repression,1
republicans,1
reputation,1
request,1
requested,1
rescues,1
responded,1
responsible,3
rest,1
restricting,1
results,9
retail,11
retailer,4
retailers,8
return,4
returns,1
reuters,13
rev,2
reveal,2
revealed,2
reveals,3
revenue,28
reviews,1
rewards,1
rewind,2
rewrite,1
rex,1
rhetoric,1
rice,1
rich,14
richer,8
riches,3
richest,34
rico,4
ride,4
riding,1
right,7
rings,2
ripe,3
rise,11
rises,2
risk,9
risks,4
rival,9
rivals,3
road,5
roadshow,21
roar,1
robertson,1
rocket,3
rockin,1
rodeo,1
roger,1
role,4
rollercoaster,1
room,1
rose,5
roster,1
roughly,1
round,3
rousing,1
rt,7
ruckus,1
ruined,1
rules,1
rumours,1
run,8
runs,1
rush,1
russia,3
s&amp,5
sachs,3
sacrificing,1
safe,1
safety,3
sags,1
saic,2
said,19
sale,15
sales,55
sank,1
sarah,2
satisfy,1
saudi,1
save,1
saved,1
say,20
saying,2
says,29
scanning,3
scene,1
scheduled,1
schwarzenegger,1
scoop,1
scored,1
scoring,3
scotland,3
scots,3
scott,1
scottish,2
scrutiny,8
seamless,1
search,1
searches,4
season,1
seattle,1
sec,7
second,4
seconds,2
secret,3
secretary,1
secretly,2
secrets,3
sector,1
sectors,2
secure,1
secures,1
securities,1
security,2
see,6
seedinvest,1
seeds,1
seeing,1
seek,1
seeking,1
seeks,11
seem,2
seems,1
seen,1
sees,5
select,2
selects,1
selfie,1
selfies,1
sell,17
sellers,1
sellers/18142057/,1
selling,13
sells,3
send,1
sending,1
senior,1
sense,1
sentence,1
separate,2
sept,6
september,7
series,1
serious,1
service,6
services,14
servicios,3
sesame,1
sesame!,2
session,2
set,31
sets,14
setting,5
seven,2
several,1
sex,3
shade,1
shah,1
shake,1
shape,1
share,71
shareholders,5
shares,116
sharply,1
shatters,1
ship,1
shirt,1
shoe,1
shop,4
shoppers,2
shopping,16
short,3
shot,2
shouldn,3
show,1
showdown,1
showed,2
shows,4
shrine,1
shuffles,2
shut,1
side,1
sideline,1
sights,1
sign,2
signaled,1
signals,2
significant,1
signs,1
silicon,19
silly,1
silver,2
simple,3
simply,3
sin,1
since,25
single,6
singles,49
singles 1,
singlesday,3
sings,2
sinks,1
sipo,1
sister,1
site,13
sites,7
sitio,1
sitting,2
six,3
size,6
sizes,2
sizzling,1
sky,1
skyrocketing,1
slammed,1
slams,4
slated,1
slide,2
sliding,1
slow,1
slumped,1
slumping,1
small,14
smallbusiness,1
smallbusinesses,1
smaller,2
smart,12
smartest,1
smarthome,4
smartphone,15
smartphones,6
smartwatch,2
smartwear,1
smash,1
smashes,4
smashing,1
smile,2
smith,1
snapchat,45
snapdeal,1
snapped,1
snapping,1
snubbed,1
soar,1
soaring,4
soars,5
soccer,2
social,3
sofi,1
softbank,7
software,5
soil,1
sold,7
solid,3
solomon,1
solutions,1
solved,1
someone,2
something,4
somewhere,1
son,1
sony,2
soon,3
sounds,1
source,3
sources,14
soured,1
space,3
sparks,1
speaking,1
speaks,2
special,3
specializes,1
spectators,1
speech,1
spend,2
spending,4
spends,3
spent,7
spiked,1
spikes,1
spin,35
spinco,1
spinning,9
spinoff,15
spinoff/,1
spins,2
splash,1
split,7
splits,1
splitting,1
spoils,1
spokesperson,1
spot,1
spouse,2
sprawling,1
spread,2
spreading,1
spree,2
squarely,4
st,18
stabilizing,2
staff,2
staffers,1
stage,3
stake,67
stakeholders,1
stakes,2
stand,2
standing,1
star,2
starboard,3
stars,5
start,15
started,3
starting,5
starts,1
startup,8
startup/small,1
startups,6
state,3
states,1
stay,1
stellar,1
step,2
steps,2
sterling,2
stewart,1
stick,1
still,6
still 1,
stimulus,1
stock,66
stockmarkets,1
stocks,9
stocktwits,5
stone,2
stop,3
stops,1
store,8
stories,3
storm,1
story,13
strange,6
strategic,5
strategist,1
strategy,10
streaming,1
street,17
strength,1
strengthens,2
stresses,2
strong,8
struck,1
structure,1
stuck,1
student,1
stuff,1
stumbled,3
stumbles,1
stunning,1
stunt,5
style,1
su,2
succeed,2
success,13
successful,3
suck,1
suddenly,1
sues,1
suffer,2
suggests,1
sumptuous,1
supera,2
supplied,1
supports,2
sure,1
surge,10
surged,3
surges,4
surging,1
surpass,2
surpassed,1
surpasses,1
surpassing,1
survey,2
suspicious,2
sustainable,1
swallow,1
swallowing,2
swanky,1
swath,1
sweeney,1
swell,1
swells,1
swift,1
switzerland,1
symbol,2
system,1
systems,1
tackling,1
taiwan,5
taiwanese,1
take,6
takeaways,1
taken,1
takeover,4
takers,3
takes,14
taking,4
tale,6
talented,1
